unique_id,day,hour,location,frequency
0,1,1,C307,1
1,1,1,C401,1
2,1,2,LT2,7
3,1,2,LT3,1
4,1,3,A605,1
5,1,3,C307,1
6,1,3,C405,2
7,1,3,DLT5,1
8,1,3,DLT7,1
9,1,4,A507,1
10,1,4,C401,2
11,1,4,LT2,1
12,1,5,A502,2
13,1,5,C307,1
14,1,5,DLT8,1
15,1,7,C405,2
16,1,7,DLT5,1
17,1,7,DLT8,1
18,1,7,L201,1
19,1,8,DLT5,1
20,1,9,CC,1
21,1,9,DLT5,1
22,1,10,A605,1
23,1,10,CC,1
24,2,1,DLT5,1
25,2,2,C307,1
26,2,2,LT2,7
27,2,3,C307,1
28,2,3,LT1,2
29,2,3,LT2,7
30,2,4,C405,1
31,2,4,LT2,3
32,2,5,LT2,2
33,2,5,LT3,1
34,2,7,PHYLAB3,1
35,2,7,POWERLAB,1
36,2,8,D151,1
37,2,8,PHYLAB3,1
38,2,8,POWERLAB,1
39,2,9,D151,1
40,2,10,C307,1
41,2,10,D151,1
42,3,1,CC,7
43,3,2,CC,7
44,3,2,LT2,1
45,3,3,A605,1
46,3,3,C405,2
47,3,3,DLT5,1
48,3,3,DLT7,1
49,3,3,LT2,1
50,3,4,A506,1
51,3,4,C401,2
52,3,4,LT2,1
53,3,5,A502,2
54,3,5,C307,1
55,3,5,C405,1
56,3,5,DLT8,1
57,3,7,C405,1
58,3,7,DLT5,1
59,3,7,DLT8,1
60,3,7,L201,1
61,3,8,CC,1
62,3,8,DLT5,1
63,3,9,CC,1
64,3,9,DLT5,1
65,3,10,A605,1
66,4,2,C307,2
67,4,2,LT2,7
68,4,3,C307,1
69,4,3,LT1,2
70,4,3,LT2,7
71,4,4,C405,1
72,4,4,LT2,3
73,4,5,LT2,2
74,4,5,LT3,1
75,4,7,LT2,8
76,4,8,A605,1
77,4,8,C405,2
78,4,8,DLT5,1
79,4,8,DLT7,1
80,4,8,LT2,1
81,4,9,A507,1
82,4,9,C401,2
83,4,9,LT2,1
84,4,10,A502,2
85,4,10,C307,1
86,4,11,CC,1
87,5,1,DLT7,1
88,5,1,LT2,7
89,5,1,LT3,1
90,5,1,LT4,1
91,5,2,CC,7
92,5,3,C307,1
93,5,3,CC,7
94,5,3,LT1,2
95,5,4,C405,1
96,5,4,LT2,3
97,5,5,LT2,2
98,5,5,LT3,1
99,5,7,C405,2
100,5,7,DLT5,1
101,5,7,DLT8,1
102,5,7,POWERLAB,1
103,5,8,DLT5,1
104,5,8,POWERLAB,1
105,5,9,CC,1
106,5,9,DLT5,1
107,5,10,A605,1
108,5,10,CC,1
109,6,1,C307,1
110,6,1,LT2,7
111,6,2,MUELAB,1
112,6,2,PHYLAB3,1
113,6,3,MUELAB,1
114,6,3,PHYLAB3,1
115,6,4,MUELAB,1
116,6,5,MUELAB,1
117,1,8,A605,1
118,3,8,A605,1
119,5,8,A605,1
120,3,1,A605,1
121,1,2,A605,1
122,3,2,A605,1
123,4,7,A605,1
124,4,1,A605,1
125,2,5,A605,1
126,4,5,A605,1
127,5,5,A605,1
128,5,1,A605,1
129,1,9,A605,1
130,3,9,A605,1
131,5,9,A605,1
132,2,1,A605,1
